n       E_n
240 (516.258657785+0j)
241 (517.887179062+0j)
242 (519.489087985+0j)
243 (521.064075459+0j)
244 (522.611824426+0j)
245 (524.132008718+0j)
246 (525.624291733+0j)
247 (527.088324904+0j)
248 (528.52374593+0j)
249 (529.930176703+0j)
250 (531.307220889+0j)
251 (532.654461053+0j)
252 (533.971455251+0j)
253 (535.257732928+0j)
254 (536.512789956+0j)
255 (537.736082558+0j)
256 (538.927019781+0j)
257 (540.084954065+0j)
258 (541.209169227+0j)
259 (542.298864915+0j)
260 (543.353136082+0j)
261 (544.370945265+0j)
262 (545.351084128+0j)
263 (546.292118325+0j)
264 (547.192305103+0j)
265 (548.049463532+0j)
266 (548.860774212+0j)
267 (549.622086127+0j)
268 (550.329882377+0j)
269 (550.959864631+0j)
270 (551.540040114+0j)
271 (551.971116238+0j)
272 (552.442508914+0j)
273 (553.274378088+0j)
274 (553.54464484+0j)
275 (554.8278933+0j)
276 (555.10456576+0j)
277 (556.251571306+0j)
278 (557.426933234+0j)
279 (557.800536978+0j)
280 (559.467707062+0j)
281 (560.37064384+0j)
282 (561.250124411+0j)
283 (563.147494568+0j)
284 (564.347142678+0j)
285 (565.16155704+0j)
286 (567.295835739+0j)
287 (569.555609417+0j)
288 (571.948047986+0j)
289 (574.482511713+0j)
290 (577.171048462+0j)
291 (580.029169374+0j)
292 (583.077055751+0j)
293 (586.341486282+0j)
294 (589.859059175+0j)
295 (593.681946073+0j)
296 (597.889155005+0j)
297 (602.611692084+0j)
298 (608.101676429+0j)
299 (615.011552182+0j)
