n       E_n
238 (1265.83561902+0j)
239 (1270.1969501+0j)
240 (1274.49695075+0j)
241 (1278.73514186+0j)
242 (1282.91105013+0j)
243 (1287.02420804+0j)
244 (1291.07415383+0j)
245 (1295.06043135+0j)
246 (1298.98259006+0j)
247 (1302.84018485+0j)
248 (1306.63277599+0j)
249 (1310.3599289+0j)
250 (1314.02121402+0j)
251 (1317.61620658+0j)
252 (1321.14448634+0j)
253 (1324.6056373+0j)
254 (1327.99924737+0j)
255 (1331.32490788+0j)
256 (1334.58221315+0j)
257 (1337.7707599+0j)
258 (1340.89014651+0j)
259 (1343.93997224+0j)
260 (1346.91983623+0j)
261 (1349.8293363+0j)
262 (1352.66806754+0j)
263 (1355.43562059+0j)
264 (1358.13157957+0j)
265 (1360.7555195+0j)
266 (1363.30700318+0j)
267 (1365.78557729+0j)
268 (1368.19076755+0j)
269 (1370.52207257+0j)
270 (1372.77895611+0j)
271 (1374.96083697+0j)
272 (1377.06707592+0j)
273 (1379.09695835+0j)
274 (1381.04967082+0j)
275 (1382.92426893+0j)
276 (1384.71963198+0j)
277 (1386.43439719+0j)
278 (1388.06686089+0j)
279 (1389.61481891+0j)
280 (1391.07527324+0j)
281 (1392.44400847+0j)
282 (1393.71668039+0j)
283 (1394.88754177+0j)
284 (1395.86658878+0j)
285 (1396.69228565+0j)
286 (1397.83447476+0j)
287 (1398.61447045+0j)
288 (1399.19128998+0j)
289 (1400.6447974+0j)
290 (1402.16119762+0j)
291 (1403.72439577+0j)
292 (1404.24174918+0j)
293 (1405.32674001+0j)
294 (1406.9658975+0j)
295 (1408.64503389+0j)
296 (1410.37594782+0j)
297 (1412.18976007+0j)
298 (1414.02371939+0j)
299 (1414.18382112+0j)
