n       E_n
241 (651.768924142+0j)
242 (653.812791063+0j)
243 (655.823278136+0j)
244 (657.800028063+0j)
245 (659.742676123+0j)
246 (661.650849065+0j)
247 (663.524163843+0j)
248 (665.362226189+0j)
249 (667.164628962+0j)
250 (668.930950269+0j)
251 (670.660751284+0j)
252 (672.353573731+0j)
253 (674.008936936+0j)
254 (675.626334386+0j)
255 (677.205229653+0j)
256 (678.745051557+0j)
257 (680.245188358+0j)
258 (681.70498073+0j)
259 (683.123713167+0j)
260 (684.50060334+0j)
261 (685.834788742+0j)
262 (687.125309655+0j)
263 (688.371087032+0j)
264 (689.570893133+0j)
265 (690.723311537+0j)
266 (691.826680962+0j)
267 (692.879013271+0j)
268 (693.877867982+0j)
269 (694.820143617+0j)
270 (695.701753988+0j)
271 (696.516947134+0j)
272 (697.250874324+0j)
273 (697.932621525+0j)
274 (698.352023432+0j)
275 (698.949467535+0j)
276 (699.746460506+0j)
277 (700.036682944+0j)
278 (701.311731893+0j)
279 (702.34188809+0j)
280 (702.730140614+0j)
281 (704.275627394+0j)
282 (705.94060951+0j)
283 (707.721849104+0j)
284 (709.618870738+0j)
285 (711.633285678+0j)
286 (713.76852013+0j)
287 (716.029773783+0j)
288 (718.424149094+0j)
289 (720.960945901+0j)
290 (723.652155359+0j)
291 (726.513232902+0j)
292 (729.564302533+0j)
293 (732.832081114+0j)
294 (736.353096608+0j)
295 (740.179436033+0j)
296 (744.389997964+0j)
297 (749.115632914+0j)
298 (754.608204662+0j)
299 (761.519606291+0j)
